,0
0,26975.0
1,15109.0
2,15422.0
3,74.0
4,5225.0
5,334.0
6,166.0
7,58028.0
8,1814201.0
9,130.0
10,428.0
11,86756300.0
12,45674.0
13,59076.0
14,375.0
15,2415.0
16,2415.0
17,143693.0
18,576436.0
19,977.0
20,344.0
21,208.0
22,628.0
23,407603243.0
24,20.0
25,57805.0
26,58028.0
27,64.0
28,4040.0
29,895.0
30,68238.0
31,1699.0
32,4.0
33,8.0
34,7476.0
35,88.0
36,604.0
37,40028.0
38,30.0
39,1715.0
40,6159.0
41,99.0
42,176.0
43,6.0
44,56.0
45,1822.0
46,37.0
47,33083.0
48,44605.0
49,92.0
50,1824573.0
51,1043865.0
52,28.0
53,40566855.0
54,410.0
55,196.0
56,357.0
57,
58,30.0
59,6.0
60,2.0
61,31.0
62,5706.0
63,30.0
64,101.0
65,1581717.0
66,50.0
67,37900.0
68,
69,144.0
70,1763454.0
71,86.0
72,78.0
73,69.0
74,9.0
75,34.0
76,844437.0
77,23292.0
78,22.0
79,197.0
80,31.0
81,7.0
82,118442.0
83,20.0
84,83707.0
85,566078670.0
86,33.0
87,149.0
88,40.0
89,107.0
90,29028.0
91,30760.0
92,2.0
93,44.0
94,10.0
95,54.0
96,219.0
97,8084.0
98,789.0
