,0,1
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html
2,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/
3,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html
4,bmn.nl,https://www.bmn.nl/
5,bouwonline.com,https://www.bouwonline.com/
6,pontmeyer.nl,https://www.pontmeyer.nl/
7,huisman.nl,https://www.huisman.nl/bouwmaterialen/
8,bol.com,https://www.bol.com/nl/m/bouwmaterialen/
9,bouwmaterialenkopen.com,https://www.bouwmaterialenkopen.com/
10,debouwmarktshop.nl,https://www.debouwmarktshop.nl/
11,karwei.nl,https://www.karwei.nl/assortiment/k/bouwmaterialen
12,stmiddelkoop.nl,https://www.stmiddelkoop.nl/bouwmaterialen/
13,raabkarcher.nl,https://www.raabkarcher.nl/bouwmaterialen
14,sleiderink.nl,https://www.sleiderink.nl/bouwmaterialen
15,houtenbouwmaterialen.nl,https://www.houtenbouwmaterialen.nl/bouwmaterialen
16,gamma.nl,https://www.gamma.nl/assortiment/k/bouwmaterialen
17,bouwmaterialen-nederland.nl,http://www.bouwmaterialen-nederland.nl/
18,oke-bouwmaterialen.nl,https://www.oke-bouwmaterialen.nl/
19,bouwcenter.nl,https://www.bouwcenter.nl/bouwcenter-shop/bouwmaterialen/
20,wikipedia.org,https://nl.wikipedia.org/wiki/Bouwmateriaal
21,verdouw.nu,https://www.verdouw.nu/
22,gebruiktebouwmaterialen.com,https://gebruiktebouwmaterialen.com/
23,praxis.nl,https://www.praxis.nl/bouwmaterialen/b1/
24,ad.nl,https://www.ad.nl/wonen/prijzen-voor-bouwmaterialen-rijzen-de-pan-uit~a0314697/
25,joostdevree.nl,https://www.joostdevree.nl/shtmls/bouwmaterialen.shtml
26,hout-en-bouwmaterialen.nl,http://www.hout-en-bouwmaterialen.nl/
27,houthandelonline.nl,https://www.houthandelonline.nl/bouwmaterialen
28,limtrade.nl,https://www.limtrade.nl/af-bouw/bouwmaterialen
29,bakkerdehouthandel.nl,https://www.bakkerdehouthandel.nl/blog/bouwmaterialen/
30,nelemans.nl,https://www.nelemans.nl/bouwcenter/bouwmaterialen/
31,vlaandergroep.nl,https://www.vlaandergroep.nl/bouwmaterialen/
32,wienerberger.nl,https://www.wienerberger.nl/verkooppunten/bouwmaterialen.html
33,sijsbv.nl,https://www.sijsbv.nl/assortiment/bouwmaterialen/
34,crijnsbouwmaterialen.nl,https://www.crijnsbouwmaterialen.nl/nl/bouwmaterialen-kopen
35,hetjagershuis.com,https://www.hetjagershuis.com/c-4257901/bouwmaterialen/
36,3mnederland.nl,https://www.3mnederland.nl/3M/nl_NL/p/c/bouwmaterialen/
37,bouwmaterialenzeeland.nl,https://www.bouwmaterialenzeeland.nl/
38,boer-staphorst.nl,https://www.boer-staphorst.nl/klussen-bouwen/bouwmaterialen
39,eco-bouwmaterialen.nl,https://www.eco-bouwmaterialen.nl/
40,flexbouwmateriaal.nl,https://www.flexbouwmateriaal.nl/
41,breukers.nl,https://www.breukers.nl/bouwmaterialen
42,bouwhof.nl,https://www.bouwhof.nl/bouw/bouwmaterialen/
43,kombibouwmaterialen.nl,https://www.kombibouwmaterialen.nl/producten/bouwmaterialen/
44,ggoedkoop.nl,https://www.ggoedkoop.nl/
45,groenebouwmaterialen.nl,https://www.groenebouwmaterialen.nl/
46,marktplaats.nl,https://www.marktplaats.nl/u/2e-hands-bouwmaterialen/20098676/
47,witzand.nl,https://www.witzand.nl/
48,hormes.nl,https://www.hormes.nl/
49,hominco.nl,https://www.hominco.nl/
