,0,1,2,3
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen,"3,6,7,15",6
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,"3,6,7,15",6
2,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/,"3,6,7,15",6
3,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html,"3,6,7,15",
4,bouwonline.com,https://www.bouwonline.com/,"3,6,7,15",
0,houthandelonline.nl,https://www.houthandelonline.nl/,"1,3,4,6,7,16,22",6
1,jongeneel.nl,https://www.jongeneel.nl/producten/hout/c/W_1,"1,3,4,6,7,16,22",6
2,gamma.nl,https://www.gamma.nl/assortiment/k/hout,"1,3,4,6,7,16,22",6
3,bouwmaat.nl,https://www.bouwmaat.nl/hout,"1,3,4,6,7,16,22",
4,wikipedia.org,https://nl.wikipedia.org/wiki/Hout,"1,3,4,6,7,16,22",
