,URL,FCP,LCP,FID,CLS
0,https://www.bouwmaat.nl/bouwmaterialen,1216,2474,5,82
1,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,NaN,NaN,NaN,NaN
2,https://www.bouwbestel.nl/bouwmaterialen.html,841,1008,3,45
3,https://www.online-bouwmaterialen.nl/,984,1706,3,1
4,https://www.bmn.nl/,NaN,NaN,NaN,NaN
5,https://www.bouwonline.com/,NaN,NaN,NaN,NaN
6,https://www.bol.com/nl/m/bouwmaterialen/,528,609,3,7
7,https://www.pontmeyer.nl/,2679,3950,4,51
8,https://www.bouwmaterialenkopen.com/,NaN,NaN,NaN,NaN
9,https://www.debouwmarktshop.nl/,2473,2957,8,81
10,https://www.huisman.nl/bouwmaterialen/,722,2711,3,21
11,https://www.sleiderink.nl/bouwmaterialen,635,814,5,1
12,https://www.houtenbouwmaterialen.nl,1179,1759,3,11
13,https://www.raabkarcher.nl,2216,4592,3,24
14,https://www.karwei.nl/assortiment/k/bouwmaterialen,685,1059,3,4
15,https://www.stmiddelkoop.nl/bouwmaterialen/,950,1418,3,0
16,https://www.gamma.nl/assortiment/k/bouwmaterialen,652,943,3,3
17,https://www.verdouw.nu/,NaN,NaN,NaN,NaN
18,https://www.bouwpartner.com/,1276,2043,3,39
19,https://nl.wikipedia.org,975,1021,3,0
20,https://www.bakkerdehouthandel.nl,1214,1367,3,4
21,https://www.makroshop.be/nl/bouwen-en-gereedschappen/bouwmaterialen,702,2050,2,19
22,https://www.praxis.nl/bouwmaterialen/b1/,1514,3981,7,17
23,https://www.oke-bouwmaterialen.nl/,NaN,NaN,NaN,NaN
24,https://www.joostdevree.nl,758,830,2,0
25,http://www.hout-en-bouwmaterialen.nl,448,482,3,0
26,https://www.limtrade.nl,894,1141,3,4
27,https://www.bouwcenter.nl/driessen/bouwmaterialen/,NaN,NaN,NaN,NaN
28,https://gebruiktebouwmaterialen.com/,1335,2295,3,38
29,https://www.nelemans.nl,1238,1584,3,1
30,https://www.bouwhof.nl/bouw/bouwmaterialen/,NaN,NaN,NaN,NaN
31,https://www.houthandelonline.nl/bouwmaterialen,393,552,2,5
32,https://www.wienerberger.nl,969,1670,2,15
33,https://www.3mnederland.nl,3004,4114,3,42
34,https://www.breukers.nl,1245,1412,2,7
35,https://www.bouwmaterialenzeeland.nl/,NaN,NaN,NaN,NaN
36,https://www.ggoedkoop.nl/,NaN,NaN,NaN,NaN
37,https://www.eco-bouwmaterialen.nl,2460,2774,7,57
38,https://www.witzand.nl/,1122,2148,3,2
39,https://www.groenebouwmaterialen.nl/,1580,1792,7,54
40,https://www.hormes.nl/bouwmaterialen/,NaN,NaN,NaN,NaN
41,https://www.vidaxl.nl/g/115/bouwmaterialen,NaN,NaN,NaN,NaN
42,https://www.marktplaats.nl,1132,2160,6,34
43,https://www.bouwbink.nl/bouwmaterialen,NaN,NaN,NaN,NaN
44,https://www.boer-staphorst.nl,1456,2612,4,10
45,https://www.houthandelvangelder.nl/bouwmaterialen/,467,1605,5,114
